ID Participante;Desafio- Reflexión;Expectativa
Participante 88;Dificultad en Power Bi y en Fabric, por desconocimiento;Poder aprender para mejorar los reportes de mi Area
Participante 89;Consolidar información, limpiar, para después ser utilizados en un dasboard.;Obtener un mayor conocimiento en Microsoft Fabric
Participante 90;Actualización y administración de Dashboards de BI basados en Excel, que usan datos repetitivos que cada usuario alojaba en sus repositorios personales. Para resolverlo establecimos reglas de creación en un punto común de sharepoint para que los archivos base de datos y de configuración puedan ser utilizados por varios dashboards y que la actualizaciones de los mismos se realice por un único responsable por base de datos.;Entender como se pueden crear y administrar las bases de datos para crear un entorno que sea convertible en data lake.
Participante 91;"Necesitaba entregar datos actualizados dle estado de los proyectos a los colegas de atención al cliente; actualmente tienen acceso a una planilla excel online en donde pueden revisar, pero creo que se podria realizar un informe visual donde puedan revisar de una forma más amigable";Ser capaz de realizar informes y automatizar reportes
Participante 92;Saber cual es el mejor componente para los requerimientos que solicita el negocio y cual es la mejor manera para no gastar tantas CUs;Quiero aprender a tomar mejores decisiones en el uso de componentes de fabric y poder guiar de mejor manera las solicitudes de información.
Participante 93;No registrado / No aplica;poder lograr obtener mas conocimiento y aplicarlo al dia a dia
Participante 94;Automatización en el proceso de extracción de datos de mantenimiento alojados en plataforma Synchroteam mediante notebooks en Fabric.;Profundizar en la capa Bronze de la arquitectura Medallion.
Participante 95;No registrado / No aplica;Conocer desde la base hasta la modelación de datos.
Participante 96;Actualmente, me encuentro viendo la posibilidad de transferir un sistema que hice en Python y PostgreSQL a un ambiente Fabric, este sistema corre en un servidor externo a la compañía, por lo que se me solicito pasarlo a Fabric para que cuente con el soporte de la empresa y esté en un ambiente más seguro. El desafío que tengo acá es: 1. Mi falta de experiencia en Fabric 2. La cantidad de datos que procesa el sistema o base de datos.;Mis expectativas son, aprender nuevas herramientas que me permitan seguir creciendo profesionalmente y poder aplicar ese conocimiento en mi trabajo diario. Me gustaría que lo aprendido me ayude a enfrentar de mejor manera los desafíos que tenemos actualmente. En particular tengo mucho interés en adquirir los conocimientos necesarios para poder desarrollar una solución que permita el traslado del sistema de monitoreo SCADA que actualmente se encuentra en un servidores externo a la empresa. Creo que el programa puede entregarme las herramientas necesarias para llevar a cabo esa tarea o desarrollar una solución desde otro punto punto de vista. También espero poder compartir lo aprendido con mis colegas y contribuir a impulsar la cultura del uso de datos para la toma de decisiones.
Participante 97;Datos extraidos desde sap en formato excel, presentarlos en power BI para mejorar el analisis del dato;Poder conocer y aplicar herramientas novedosas de microsoft para mejorar reporteria y gestionar datos
